Product Name,Category
Plain Pie,Pie
Steak Cheese Pie,Pie
steak peper pie,Pie
shepherd's pie,Pie
steak mushroom pie,Pie
cheese bacon pie,Pie
steak&curry pie,Pie
steak chill pie,Pie
butter chicken pie,Pie
meat pastie(beef),Pie
vegetable pastie,Pie
,
Sausage Roll,Roll
Spinach Ricotta rolls,Roll
,
Vanilla Slice,Slice
Raspberry jelly Slice,Slice
Lemon Slice,Slice
Tim Tam Slice,Slice
Caramel Slice,Slice
Hedgehog Slice,Slice
Rocky Road Slice,Slice
PepperMint Slice,Slice
Cherry Ripe Slice,Slice
Lamingtons chocolate flavore,Slice
Lamingtons strawberry flavore,Slice
,
Banana Cake,Cake
Banana Bread,Cake
Carrot cake,Cake
Apple Cake ,Cake
,
Apple Scroll,Scroll
Coffee Scroll,Scroll
cheese and vegemite Scroll,Scroll
,
egg&bacon quiche,Quiche
spinach quiche,Quiche
,
,Donut
,Donut
,Donut
,Donut
,
,
,
,Cookie